Timestamp,Temperature,Humidity,Pressure,Dew Point
2025-02-10 17:26:37-03:00,20.6,98.0,926.99,20.2
2025-02-10 17:35:17-03:00,20.7,97.0,926.99,20.2
2025-02-10 17:45:02-03:00,21.2,96.0,926.41,20.6
2025-02-10 18:00:31-03:00,21.9,96.0,926.04,21.2
2025-02-10 18:23:53-03:00,21.6,96.0,926.11,21.1
2025-02-10 18:30:44-03:00,21.7,95.0,926.28,20.9
2025-02-10 18:45:16-03:00,22.5,94.0,926.21,21.4
2025-02-10 19:06:39-03:00,22.1,95.0,926.62,21.3
2025-02-10 19:33:59-03:00,22.4,93.0,926.92,21.3
2025-02-10 19:44:43-03:00,22.7,93.0,926.99,21.6
2025-02-10 20:00:09-03:00,22.9,92.0,927.16,21.5
2025-02-10 20:25:27-03:00,22.7,94.0,927.6,21.6
2025-02-10 20:32:14-03:00,22.7,93.0,927.67,21.6
2025-02-10 20:45:49-03:00,22.6,92.0,927.63,21.3
2025-02-10 21:35:19-03:00,22.8,92.0,927.67,21.4
2025-02-10 23:04:09-03:00,23.2,91.0,927.43,21.6
2025-02-10 23:54:21-03:00,23.2,91.0,927.06,21.7
2025-02-11 00:11:55-03:00,22.9,91.0,926.96,21.4
2025-02-11 00:30:32-03:00,23.1,91.0,926.79,21.6
2025-02-11 00:45:21-03:00,22.9,91.0,926.75,21.3
2025-02-11 01:08:51-03:00,23.1,89.0,926.62,21.3
2025-02-11 01:29:35-03:00,22.9,89.0,926.41,20.9
2025-02-11 01:39:24-03:00,23.0,88.0,926.31,20.9
2025-02-11 01:45:28-03:00,22.8,89.0,926.28,20.9
2025-02-11 02:07:48-03:00,22.7,90.0,926.35,21.0
2025-02-11 02:28:48-03:00,22.9,90.0,926.25,21.1
2025-02-11 02:37:29-03:00,22.9,90.0,926.31,21.2
2025-02-11 02:45:31-03:00,22.7,90.0,926.25,21.0
2025-02-11 03:09:45-03:00,22.9,90.0,925.97,21.1
2025-02-11 03:33:35-03:00,22.5,91.0,925.87,21.0
2025-02-11 03:47:19-03:00,22.2,93.0,925.84,20.9
2025-02-11 04:06:42-03:00,21.9,94.0,925.94,20.9
2025-02-11 04:22:39-03:00,22.3,92.0,926.04,21.1
2025-02-11 04:30:34-03:00,22.4,92.0,926.18,21.0
2025-02-11 04:45:14-03:00,22.6,91.0,926.31,21.1
2025-02-11 05:09:50-03:00,22.2,93.0,926.52,20.9
2025-02-11 05:30:34-03:00,22.1,93.0,926.72,20.9
2025-02-11 05:47:08-03:00,21.6,95.0,926.85,20.8
2025-02-11 06:07:36-03:00,21.7,94.0,927.09,20.7
2025-02-11 06:26:11-03:00,21.8,93.0,927.36,20.7
2025-02-11 06:34:56-03:00,21.9,93.0,927.46,20.7
2025-02-11 06:45:34-03:00,22.7,90.0,927.63,21.0
2025-02-11 07:07:59-03:00,22.2,93.0,927.8,20.9
2025-02-11 07:31:32-03:00,22.5,90.0,927.87,20.7
2025-02-11 07:45:05-03:00,23.6,85.0,927.9,20.9
2025-02-11 08:01:46-03:00,24.5,80.0,928.07,20.8
2025-02-11 08:22:15-03:00,25.1,74.0,928.18,20.1
2025-02-11 08:29:57-03:00,25.5,73.0,928.14,20.3
2025-02-11 08:45:23-03:00,26.1,67.0,928.21,19.5
2025-02-11 09:13:31-03:00,26.2,65.0,928.24,19.0
2025-02-11 09:50:26-03:00,26.7,64.0,928.24,19.4
2025-02-11 10:14:56-03:00,27.4,62.0,928.14,19.4
2025-02-11 10:35:46-03:00,27.7,58.0,927.9,18.6
2025-02-11 10:45:24-03:00,28.2,56.0,927.87,18.6
2025-02-11 11:00:02-03:00,28.7,52.0,927.8,18.0
2025-02-11 11:29:19-03:00,28.8,50.0,927.4,17.4
2025-02-11 11:38:58-03:00,29.6,49.0,927.23,17.8
2025-02-11 11:44:45-03:00,29.1,47.0,927.16,16.7
2025-02-11 12:07:02-03:00,30.0,42.0,927.02,15.8
2025-02-11 12:28:24-03:00,30.8,40.0,926.65,15.4
2025-02-11 12:38:04-03:00,29.8,39.0,926.55,14.2
2025-02-11 12:45:45-03:00,30.3,38.0,926.41,14.4
2025-02-11 13:09:00-03:00,32.3,33.0,926.25,14.2
2025-02-11 13:33:26-03:00,31.1,37.0,925.94,14.8
2025-02-11 13:49:50-03:00,30.8,37.0,925.8,14.3
2025-02-11 14:00:43-03:00,32.1,36.0,925.8,14.9
2025-02-11 14:26:52-03:00,31.8,35.0,925.53,14.4
2025-02-11 14:35:37-03:00,31.9,35.0,925.36,14.4
2025-02-11 14:45:19-03:00,31.8,34.0,925.2,14.2
2025-02-11 15:07:33-03:00,34.1,31.0,924.96,14.4
2025-02-11 15:31:54-03:00,32.3,36.0,924.72,15.1
2025-02-11 15:47:41-03:00,32.8,35.0,924.62,15.1
2025-02-11 16:00:15-03:00,31.5,37.0,924.55,15.0
2025-02-11 16:19:33-03:00,31.7,38.0,924.45,15.5
2025-02-11 16:30:13-03:00,32.6,36.0,924.31,15.7
2025-02-11 16:45:53-03:00,32.2,36.0,924.11,15.1
2025-02-11 17:07:25-03:00,31.9,38.0,923.94,15.9
